37,14,1040,False,Approved,Solex,Standard,high,large,1105.75,1842.92,2017-01-09
66,86,3315,True,Approved,OHM Cycles,Standard,medium,medium,125.07,235.63,2017-02-23
67,2,75,True,Approved,Solex,Standard,medium,medium,53.62,71.49,2017-07-03
68,4,1498,True,Approved,Giant Bicycles,Standard,high,medium,677.48,1129.13,2017-09-30
69,38,1612,True,Approved,Trek Bicycles,Standard,medium,large,388.92,2091.47,2017-10-21
70,27,2192,True,Approved,Trek Bicycles,Standard,medium,medium,388.72,499.53,2017-05-06
71,54,419,False,Approved,WeareA2B,Standard,medium,medium,13.44,1292.84,2017-01-03
72,77,3307,True,Approved,WeareA2B,Standard,medium,medium,108.76,1769.64,2017-05-09
73,22,2430,False,Approved,WeareA2B,Standard,medium,medium,45.26,60.34,2017-07-23
74,56,1506,True,Approved,OHM Cycles,Standard,medium,medium,137.9,183.86,2017-01-21
75,58,1346,False,Approved,OHM Cycles,Standard,medium,medium,141.4,912.52,2017-06-20
76,22,927,False,Approved,WeareA2B,Standard,medium,medium,45.26,60.34,2017-03-10
77,50,763,False,Approved,WeareA2B,Standard,medium,small,131.92,175.89,2017-06-02
78,80,2397,False,Approved,OHM Cycles,Touring,low,medium,933.84,1073.07,2017-11-07
79,87,102,True,Approved,Giant Bicycles,Standard,high,medium,707.4,1179,2017-09-12
80,15,2884,False,Approved,Norco Bicycles,Standard,low,medium,748.9,958.74,2017-12-16
81,84,759,True,Approved,Giant Bicycles,Road,medium,medium,594.68,792.9,2017-10-07
82,21,773,True,Approved,Solex,Standard,medium,large,380.74,1071.23,2017-04-27
83,0,3398,True,Approved,OHM Cycles,Standard,medium,medium,125.07,235.63,2017-04-01
84,33,3297,True,Approved,Giant Bicycles,Standard,medium,small,1167.18,1311.44,2017-11-02
85,84,2434,True,Approved,Trek Bicycles,Road,medium,medium,215.14,290.62,2017-02-13
86,1,1861,False,Approved,Giant Bicycles,Standard,medium,medium,954.82,1403.5,2017-07-19
87,27,1233,False,Approved,Trek Bicycles,Standard,medium,medium,388.72,499.53,2017-05-23
88,31,1390,False,Approved,WeareA2B,Standard,medium,medium,205.36,752.64,2017-08-06
89,0,2682,True,Approved,OHM Cycles,Road,high,large,7.21,12.01,2017-04-04
90,62,439,True,Approved,Solex,Standard,medium,medium,298.72,478.16,2017-08-15
91,17,1579,True,Approved,Solex,Standard,high,medium,614.8,1024.66,2017-04-15
92,73,2984,True,Approved,Solex,Standard,medium,medium,333.18,1945.43,2017-07-25
93,33,3470,True,Approved,Giant Bicycles,Standard,medium,small,1167.18,1311.44,2017-11-28
94,86,1,False,Approved,OHM Cycles,Standard,medium,medium,125.07,235.63,2017-12-23
95,45,757,False,Approved,Solex,Standard,medium,medium,84.99,441.49,2017-02-26
96,1,1778,False,Approved,Giant Bicycles,Standard,medium,medium,954.82,1403.5,2017-02-21
97,80,211,True,Approved,OHM Cycles,Touring,low,medium,933.84,1073.07,2017-05-31
98,49,333,,Approved,Trek Bicycles,Road,medium,medium,400.13,533.51,2017-06-23
99,95,32,False,Approved,Giant Bicycles,Standard,medium,large,528.43,569.56,2017-03-26
100,0,119,False,Approved,Solex,Standard,medium,medium,298.72,478.16,2017-07-31
101,18,2347,False,Approved,Norco Bicycles,Standard,high,medium,689.18,1148.64,2017-07-27
102,4,2353,False,Approved,Giant Bicycles,Standard,high,medium,677.48,1129.13,2017-04-14
103,33,788,False,Approved,Giant Bicycles,Standard,medium,small,1167.18,1311.44,2017-11-12
104,78,1468,False,Approved,Giant Bicycles,Standard,medium,large,709.48,1765.3,2017-09-12
105,89,821,False,Approved,WeareA2B,Touring,medium,large,57.74,1362.99,2017-10-26
106,70,2489,False,Approved,Trek Bicycles,Standard,high,medium,297.43,495.72,2017-02-15
107,79,2710,False,Approved,Norco Bicycles,Standard,medium,medium,818.01,1555.58,2017-12-22
108,26,947,True,Approved,WeareA2B,Standard,medium,medium,762.63,1992.93,2017-10-11
109,39,1335,True,Approved,Giant Bicycles,Standard,medium,large,582.48,1812.75,2017-03-27
110,36,1076,False,Approved,Solex,Standard,low,medium,507.58,945.04,2017-11-04
111,0,3320,True,Approved,OHM Cycles,Standard,low,medium,56.93,71.16,2017-06-11
112,84,779,False,Approved,Giant Bicycles,Road,medium,medium,594.68,792.9,2017-10-09
113,98,3296,True,Approved,Trek Bicycles,Standard,high,medium,215.03,358.39,2017-06-07
114,75,455,True,Approved,Giant Bicycles,Touring,medium,large,863.95,1873.97,2017-10-24
115,76,1779,False,Approved,WeareA2B,Standard,low,medium,513.85,642.31,2017-05-01
116,72,2703,True,Approved,Norco Bicycles,Standard,medium,medium,270.3,360.4,2017-11-21
117,42,806,False,Approved,OHM Cycles,Road,medium,small,1610.9,1810,2017-03-24
118,20,22,False,Approved,Trek Bicycles,Standard,medium,small,1580.47,1775.81,2017-03-21
119,64,1591,False,Approved,Trek Bicycles,Standard,medium,large,596.55,1469.44,2017-02-20
120,0,678,False,Approved,Trek Bicycles,Standard,high,medium,297.43,495.72,2017-06-16
121,25,50,False,Approved,Giant Bicycles,Road,medium,medium,829.65,1538.99,2017-12-04
122,24,1038,True,Approved,Solex,Road,medium,large,820.78,1777.8,2017-12-01
123,31,1453,True,Approved,WeareA2B,Standard,medium,medium,205.36,752.64,2017-03-05
